ts,epoch,person_count,person_count_max,active_tracks,visitors_total,avg_dwell,group_count,solo_count,avg_group_size,brightness,light_state,motion_level,vibe_index
2026-06-01T15:23:46+00:00,1780327426.924,7.99,13,30,30,0.48,2.15,2.52,2.61,0.357,overcast,0.0268,46.9
2026-06-01T15:23:52+00:00,1780327432.023,9.53,12,16,33,1.25,3.08,1.67,2.55,0.354,overcast,0.0211,48.4
2026-06-01T15:23:57+00:00,1780327437.024,7.56,10,18,42,2.33,2.29,1.84,2.51,0.355,overcast,0.0276,48.1
2026-06-01T15:24:02+00:00,1780327442.062,6.97,9,14,44,2.74,1.94,2.78,2.15,0.356,overcast,0.0284,44.5
2026-06-01T15:24:07+00:00,1780327447.063,8.62,11,15,52,3.15,2.61,1.27,2.87,0.358,overcast,0.029,52.7
2026-06-01T15:24:12+00:00,1780327452.082,10.37,12,14,56,3.37,2.63,2.89,2.88,0.359,overcast,0.0266,51.8
2026-06-01T15:24:17+00:00,1780327457.094,9.66,12,19,64,3.89,2.59,2.1,3.07,0.355,overcast,0.0311,54.5
2026-06-01T15:24:22+00:00,1780327462.107,9.5,12,18,69,4.31,2.07,3.36,2.94,0.354,overcast,0.0314,51.7
2026-06-01T15:24:27+00:00,1780327467.14,9.39,12,23,81,4.8,1.66,3.59,3.91,0.355,overcast,0.0295,49.8
2026-06-01T15:24:32+00:00,1780327472.151,12.07,14,18,87,4.96,3.34,3.45,2.78,0.352,overcast,0.0373,62.0
2026-06-01T15:24:37+00:00,1780327477.211,12.77,17,20,92,5.32,2.85,1.57,4.16,0.35,dusk/dawn,0.0337,63.9
2026-06-01T15:24:42+00:00,1780327482.253,11,13,21,98,5.35,2.48,1.27,4.05,0.352,overcast,0.033,60.6
2026-06-01T15:24:47+00:00,1780327487.323,8.91,11,14,100,5.45,1.77,1.34,4.9,0.354,overcast,0.0279,52.3
2026-06-01T15:24:52+00:00,1780327492.372,8.02,10,14,103,5.56,1.73,1.48,4.09,0.352,overcast,0.031,52.3
2026-06-01T15:24:57+00:00,1780327497.408,9.98,12,15,111,5.73,2.18,1.5,3.86,0.353,overcast,0.0272,53.6
2026-06-01T15:25:02+00:00,1780327502.465,11.36,13,22,120,5.69,2.43,1.82,4.12,0.355,overcast,0.0268,55.9
2026-06-01T15:25:07+00:00,1780327507.52,10.23,13,21,126,5.54,2.53,2.21,3.31,0.357,overcast,0.0326,56.6
2026-06-01T15:25:12+00:00,1780327512.561,10.14,13,16,131,5.4,2.45,3.59,2.67,0.356,overcast,0.0254,48.6
2026-06-01T15:25:17+00:00,1780327517.636,9.79,13,19,137,5.62,1.79,3.93,3.4,0.354,overcast,0.0256,47.4
2026-06-01T15:25:22+00:00,1780327522.71,8.94,12,18,143,5.9,1.35,2.67,4.92,0.354,overcast,0.0268,48.8
2026-06-01T15:25:27+00:00,1780327527.78,8.41,10,13,148,5.83,1.77,2.52,3.45,0.351,overcast,0.0326,51.9
2026-06-01T15:25:32+00:00,1780327532.841,9.6,11,19,156,5.85,2.02,2.88,3.4,0.353,overcast,0.0349,55.8
2026-06-01T15:25:37+00:00,1780327537.9,10.17,13,18,162,5.84,2.65,3.31,2.61,0.355,overcast,0.0278,51.1
2026-06-01T15:25:43+00:00,1780327543.343,9.07,11,15,167,5.93,2.15,2.33,3.19,0.352,overcast,0.0231,47.3
2026-06-01T15:25:48+00:00,1780327548.466,9.45,11,22,178,5.84,2.26,3.5,2.82,0.353,overcast,0.0284,49.5
2026-06-01T15:25:53+00:00,1780327553.591,11.62,14,18,184,5.73,1.93,4.1,3.92,0.352,overcast,0.0288,53.9
2026-06-01T15:25:58+00:00,1780327558.701,9.98,13,19,190,5.81,1.76,3.46,3.8,0.351,overcast,0.0282,50.5
2026-06-01T15:26:03+00:00,1780327563.769,11.15,13,21,198,5.94,2.97,1.69,3.42,0.352,overcast,0.0357,61.9
2026-06-01T15:26:08+00:00,1780327568.887,9.38,12,23,206,5.71,2.38,3.45,2.36,0.351,overcast,0.0275,48.5
2026-06-01T15:26:13+00:00,1780327573.962,8.95,11,21,212,5.67,2.38,3.26,2.55,0.352,overcast,0.0232,45.1
2026-06-01T15:26:19+00:00,1780327579.075,7.28,11,16,216,5.66,1.92,2.54,2.31,0.357,overcast,0.0201,39.4
2026-06-01T15:26:24+00:00,1780327584.208,7.26,10,14,224,5.58,1.83,3.38,2.1,0.353,overcast,0.028,43.0
2026-06-01T15:26:29+00:00,1780327589.209,8.7,10,13,230,5.57,1.82,3.52,3.07,0.345,dusk/dawn,0.0329,50.6
2026-06-01T15:26:34+00:00,1780327594.214,7.9,10,14,235,5.65,1.56,1.82,4.19,0.347,dusk/dawn,0.0403,57.7
2026-06-01T15:26:39+00:00,1780327599.443,8.78,10,13,239,5.59,1.04,1.15,7.44,0.35,dusk/dawn,0.0367,58.9
2026-06-01T15:26:44+00:00,1780327604.526,8.57,12,20,249,5.62,1.71,1.76,4.3,0.355,overcast,0.0378,57.5
2026-06-01T15:26:49+00:00,1780327609.621,8.81,11,16,253,5.58,2.03,2.08,3.32,0.354,overcast,0.0369,56.9
2026-06-01T15:26:54+00:00,1780327614.646,8.62,12,18,261,5.73,2.23,2.21,2.97,0.355,overcast,0.0333,53.3
2026-06-01T15:26:59+00:00,1780327619.771,6.43,9,15,267,5.69,1.7,2.19,2.57,0.355,overcast,0.0319,47.0
2026-06-01T15:27:04+00:00,1780327624.916,8.05,11,15,273,5.67,1.62,2.97,3.39,0.352,overcast,0.0339,50.5
2026-06-01T15:27:09+00:00,1780327629.961,9.42,13,16,278,5.67,1.84,1.35,5.24,0.354,overcast,0.0441,64.0
2026-06-01T15:27:15+00:00,1780327635.084,9.34,11,17,282,5.6,2.23,2.63,3.19,0.349,dusk/dawn,0.0367,56.7
2026-06-01T15:27:20+00:00,1780327640.099,9.93,13,20,291,5.66,2,1.76,4.23,0.352,overcast,0.0295,54.8
2026-06-01T15:27:25+00:00,1780327645.351,11.72,14,18,297,5.74,1.68,3.04,5.81,0.353,overcast,0.0262,54.3
2026-06-01T15:27:30+00:00,1780327650.461,11.78,14,23,304,5.72,2.31,0.92,5.2,0.355,overcast,0.0256,57.5
2026-06-01T15:27:35+00:00,1780327655.478,10.53,13,17,310,5.73,2.5,1.82,3.5,0.353,overcast,0.0345,59.4
2026-06-01T15:27:40+00:00,1780327660.503,10.47,13,23,320,5.79,2.53,2.19,3.41,0.355,overcast,0.0346,58.9
2026-06-01T15:27:45+00:00,1780327665.671,11.96,14,17,324,5.77,4.14,1.61,2.51,0.349,dusk/dawn,0.0391,66.0
2026-06-01T15:27:50+00:00,1780327670.704,9.83,12,22,334,5.82,2.71,2.63,2.69,0.35,dusk/dawn,0.0334,55.7
2026-06-01T15:27:55+00:00,1780327675.814,8.4,11,14,338,5.74,1.74,2.29,3.89,0.355,overcast,0.0239,46.6
