track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
1,1780327421.528247,1780327422.817225,1.29,2026-06-01T15:23:41+00:00,2026-06-01T15:23:42+00:00
4,1780327421.528247,1780327422.3760629,0.85,2026-06-01T15:23:41+00:00,2026-06-01T15:23:42+00:00
6,1780327421.528247,1780327421.995428,0.47,2026-06-01T15:23:41+00:00,2026-06-01T15:23:41+00:00
2,1780327421.528247,1780327427.2886431,5.76,2026-06-01T15:23:41+00:00,2026-06-01T15:23:47+00:00
5,1780327421.528247,1780327427.312185,5.78,2026-06-01T15:23:41+00:00,2026-06-01T15:23:47+00:00
3,1780327421.528247,1780327432.601898,11.07,2026-06-01T15:23:41+00:00,2026-06-01T15:23:52+00:00
7,1780327421.528247,1780327432.204014,10.68,2026-06-01T15:23:41+00:00,2026-06-01T15:23:52+00:00
8,1780327421.528247,1780327442.6785002,21.15,2026-06-01T15:23:41+00:00,2026-06-01T15:24:02+00:00
9,1780327421.643567,1780327421.8330162,0.19,2026-06-01T15:23:41+00:00,2026-06-01T15:23:41+00:00
10,1780327421.7134132,1780327421.736352,0.02,2026-06-01T15:23:41+00:00,2026-06-01T15:23:41+00:00
11,1780327421.810488,1780327421.8330162,0.02,2026-06-01T15:23:41+00:00,2026-06-01T15:23:41+00:00
12,1780327421.856046,1780327422.792274,0.94,2026-06-01T15:23:41+00:00,2026-06-01T15:23:42+00:00
13,1780327422.184832,1780327423.4387279,1.25,2026-06-01T15:23:42+00:00,2026-06-01T15:23:43+00:00
14,1780327422.184832,1780327423.111022,0.93,2026-06-01T15:23:42+00:00,2026-06-01T15:23:43+00:00
16,1780327422.426074,1780327422.867033,0.44,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
17,1780327422.474446,1780327423.894071,1.42,2026-06-01T15:23:42+00:00,2026-06-01T15:23:43+00:00
19,1780327422.571572,1780327422.645304,0.07,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
20,1780327422.7192042,1780327422.7192042,0.0,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
21,1780327422.7192042,1780327422.792274,0.07,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
23,1780327422.7192042,1780327422.867033,0.15,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
22,1780327422.7192042,1780327456.987953,34.27,2026-06-01T15:23:42+00:00,2026-06-01T15:24:16+00:00
26,1780327422.817225,1780327422.817225,0.0,2026-06-01T15:23:42+00:00,2026-06-01T15:23:42+00:00
29,1780327423.111022,1780327433.019428,9.91,2026-06-01T15:23:43+00:00,2026-06-01T15:23:53+00:00
30,1780327423.205039,1780327427.0598888,3.85,2026-06-01T15:23:43+00:00,2026-06-01T15:23:47+00:00
31,1780327423.346039,1780327436.7255502,13.38,2026-06-01T15:23:43+00:00,2026-06-01T15:23:56+00:00
34,1780327423.5647318,1780327437.197183,13.63,2026-06-01T15:23:43+00:00,2026-06-01T15:23:57+00:00
37,1780327423.635155,1780327427.083924,3.45,2026-06-01T15:23:43+00:00,2026-06-01T15:23:47+00:00
40,1780327423.799616,1780327423.847382,0.05,2026-06-01T15:23:43+00:00,2026-06-01T15:23:43+00:00
43,1780327424.0373619,1780327452.73056,28.69,2026-06-01T15:23:44+00:00,2026-06-01T15:24:12+00:00
44,1780327424.660106,1780327427.434921,2.77,2026-06-01T15:23:44+00:00,2026-06-01T15:23:47+00:00
47,1780327427.036074,1780327433.019428,5.98,2026-06-01T15:23:47+00:00,2026-06-01T15:23:53+00:00
48,1780327427.312185,1780327427.461497,0.15,2026-06-01T15:23:47+00:00,2026-06-01T15:23:47+00:00
49,1780327427.361697,1780327427.361697,0.0,2026-06-01T15:23:47+00:00,2026-06-01T15:23:47+00:00
53,1780327432.505476,1780327437.197183,4.69,2026-06-01T15:23:52+00:00,2026-06-01T15:23:57+00:00
55,1780327432.65126,1780327462.514843,29.86,2026-06-01T15:23:52+00:00,2026-06-01T15:24:22+00:00
57,1780327432.822588,1780327442.578899,9.76,2026-06-01T15:23:52+00:00,2026-06-01T15:24:02+00:00
58,1780327432.9953039,1780327433.0440152,0.05,2026-06-01T15:23:52+00:00,2026-06-01T15:23:53+00:00
59,1780327433.0916522,1780327437.496263,4.4,2026-06-01T15:23:53+00:00,2026-06-01T15:23:57+00:00
61,1780327436.8003561,1780327468.09615,31.3,2026-06-01T15:23:56+00:00,2026-06-01T15:24:28+00:00
63,1780327436.825307,1780327436.924319,0.1,2026-06-01T15:23:56+00:00,2026-06-01T15:23:56+00:00
